fixture_id,event_date,n_live_events,median_event_gap_sec,p90_event_gap_sec,archive_lag_p50_sec,n_goals,polymarket_reaction_latency_sec,stale_window_sec
18963519,2026-05-28,1489.0,3.1134858,9.204721959999999,7283.033050800001,5,,
18963521,2026-05-28,598.0,9.5871764,18.0980636,3600.8919922,5,,
18963523,2026-05-28,1442.0,3.1162076,9.2709456,7235.8479866,0,,
18969240,2026-05-28,2580.0,1.5635124,5.302842200000001,5852.3608451,2,,
18979379,2026-05-28,3029.0,1.49363255,4.916868180000001,6586.8787896,4,,
18999021,2026-05-28,2136.0,1.6465352,6.571119260000008,7094.7958975,4,,
19009072,2026-05-28,20.0,15.6397921,1132.6404275999994,5187.22875345,3,,
19010303,2026-05-28,122.0,60.0757068,65.0781579,19393.469525,1,,
19011292,2026-05-28,,,,3963.9799402,3,,
19013983,2026-05-28,1453.0,3.31017805,8.792875340000007,5902.621267799999,2,,
19018309,2026-05-28,1353.0,3.2361342,9.782934310000002,3451.4128448,2,,
19018402,2026-05-28,1490.0,3.385452,8.72518074,5426.153084199999,2,,
19019085,2026-05-28,1335.0,3.8937150000000003,8.78138876,4011.39153575,3,,
19019449,2026-05-28,402.0,13.672389,19.5071131,3545.09352305,3,,
19019450,2026-05-28,408.0,13.0859615,18.657378660000006,3567.959186,1,,
19021457,2026-05-28,1172.0,4.8050853,10.0367414,6022.49815605,2,,
19021475,2026-05-28,1180.0,4.7909637,9.93782976,5926.07683205,6,,
19022088,2026-05-28,1535.0,3.1769291,8.987169750000001,6357.6571107,8,,
19024895,2026-05-28,1118.0,4.9354883,10.12278338,3929.82052175,2,,
19024896,2026-05-28,1500.0,3.1596301,8.80992282,4771.7727915,1,,
19024897,2026-05-28,1528.0,3.1288609,9.259401780000001,8031.1320737,4,,
19025377,2026-05-28,581.0,9.5487251,19.16241184,5215.5247715000005,3,,
19025390,2026-05-28,1041.0,4.2164493,10.02568107,6127.815103,0,,
19025401,2026-05-28,280.0,13.1230375,18.91673978,5861.7942938,4,,
19025767,2026-05-28,919.0,5.810118149999999,10.21568534,5254.7336097,3,,
19025796,2026-05-28,1205.0,4.32783445,9.520045679999999,6270.99574845,6,,
19026900,2026-05-28,28.0,54.0206855,69.59059074000002,1586.9922518,0,,
19026910,2026-05-28,36.0,57.0209788,191.1248005000001,3282.0573994,3,,
19028971,2026-05-28,1128.0,4.9899085,10.26379522,4313.7391502,5,,
19030728,2026-05-28,,,,2917.5775232,4,,
19030877,2026-05-28,,,,2855.7650483,5,,
19030969,2026-05-28,,,,2834.9182313,4,,
19030970,2026-05-28,,,,2835.2232052,2,,
